,LoginsTransformed
0,2.52487623459
1,3.06186217848
2,2.7156951228
3,1.17260393996
4,2.09165006634
5,0.612372435696
6,2.09165006634
7,3.06186217848
8,2.8939592257
9,1.17260393996
10,1.83711730709
11,4.04660351406
12,3.65718470958
13,3.79143772203
14,3.92109678534
15,3.22102468168
16,4.28660704987
17,3.51781181987
18,3.65718470958
19,3.06186217848
20,2.8939592257
21,3.22102468168
22,2.52487623459
23,2.7156951228
24,4.28660704987
25,3.51781181987
26,2.52487623459
27,3.51781181987
28,2.31840462387
29,2.52487623459
30,2.31840462387
31,1.54110350074
32,0.612372435696
33,2.31840462387
34,1.54110350074
35,2.31840462387
36,2.09165006634
37,1.17260393996
38,1.17260393996
39,1.17260393996
40,0.612372435696
41,1.54110350074
42,2.09165006634
43,1.83711730709
44,1.17260393996
45,1.17260393996
46,1.17260393996
47,1.83711730709
48,1.17260393996
49,1.83711730709
50,1.17260393996
51,1.83711730709
52,1.17260393996
53,2.52487623459
54,1.54110350074
55,2.7156951228
56,2.8939592257
57,2.8939592257
58,2.31840462387
59,3.06186217848
60,3.51781181987
61,4.28660704987
62,3.79143772203
63,3.92109678534
64,4.16833300013
65,3.79143772203
66,2.8939592257
67,2.09165006634
68,2.31840462387
69,3.06186217848
70,1.54110350074
71,2.7156951228
72,2.52487623459
73,2.31840462387
74,2.7156951228
75,2.31840462387
76,2.31840462387
77,1.54110350074
78,2.09165006634
79,2.7156951228
80,1.83711730709
81,2.09165006634
82,2.31840462387
83,2.52487623459
84,2.31840462387
85,1.54110350074
86,2.09165006634
87,0.612372435696
88,1.83711730709
89,1.83711730709
90,2.09165006634
91,2.8939592257
92,2.31840462387
93,2.31840462387
94,2.52487623459
95,2.7156951228
96,3.06186217848
97,3.65718470958
98,3.65718470958
99,2.52487623459
100,3.22102468168
101,3.37268439081
102,3.79143772203
103,3.92109678534
104,4.28660704987
105,4.62331050223
106,4.16833300013
107,3.51781181987
108,3.51781181987
109,3.51781181987
110,3.92109678534
111,2.31840462387
112,3.22102468168
113,2.7156951228
114,4.16833300013
115,3.65718470958
116,3.65718470958
117,4.16833300013
118,3.37268439081
119,4.73022198211
120,4.62331050223
121,4.04660351406
122,3.37268439081
123,4.62331050223
124,4.83476990145
125,4.16833300013
126,3.06186217848
127,4.28660704987
128,4.62331050223
129,3.92109678534
130,3.79143772203
131,3.92109678534
132,2.52487623459
133,3.22102468168
134,3.37268439081
135,1.54110350074
136,1.83711730709
137,2.09165006634
138,1.54110350074
139,1.17260393996
140,1.54110350074
141,1.54110350074
142,1.54110350074
143,1.83711730709
144,1.54110350074
145,1.83711730709
146,0.612372435696
147,1.54110350074
148,2.09165006634
149,1.54110350074
150,1.83711730709
151,0.612372435696
152,0.612372435696
153,1.83711730709
154,2.09165006634
155,1.17260393996
156,1.83711730709
157,2.09165006634
158,2.7156951228
159,2.7156951228
160,2.09165006634
161,2.52487623459
162,2.52487623459
163,2.8939592257
164,2.09165006634
165,1.54110350074
166,3.06186217848
167,2.52487623459
168,3.06186217848
169,2.7156951228
170,3.92109678534
171,2.31840462387
172,2.7156951228
173,3.37268439081
174,2.31840462387
175,2.8939592257
176,2.52487623459
177,2.8939592257
178,2.09165006634
179,1.83711730709
180,2.31840462387
181,2.52487623459
182,2.52487623459
183,2.52487623459
184,2.7156951228
185,1.17260393996
186,2.8939592257
187,3.06186217848
188,2.7156951228
189,3.06186217848
190,3.51781181987
191,2.09165006634
192,2.52487623459
193,2.09165006634
194,2.7156951228
195,3.37268439081
196,2.7156951228
197,2.52487623459
198,3.22102468168
199,3.51781181987
200,3.92109678534
201,4.40170421541
202,4.16833300013
203,3.65718470958
204,4.16833300013
205,3.51781181987
206,3.92109678534
207,3.37268439081
208,3.79143772203
209,3.92109678534
210,3.51781181987
211,2.7156951228
212,3.92109678534
213,5.41987084717
214,5.0373604199
215,4.62331050223
216,5.68990333837
217,5.23211238411
218,4.73022198211
219,4.83476990145
220,4.62331050223
221,5.13565964604
222,3.06186217848
223,4.51386752132
224,3.65718470958
225,4.04660351406
226,4.93710441453
227,4.93710441453
228,2.8939592257
229,3.37268439081
230,2.8939592257
231,2.7156951228
232,2.7156951228
233,3.37268439081
234,1.17260393996
235,2.8939592257
236,0.612372435696
237,1.17260393996
238,1.17260393996
239,1.54110350074
240,1.54110350074
241,1.17260393996
242,1.54110350074
243,1.54110350074
244,1.17260393996
245,2.09165006634
246,2.09165006634
247,1.54110350074
248,1.83711730709
249,1.83711730709
250,1.54110350074
251,1.83711730709
252,2.7156951228
253,1.83711730709
254,1.83711730709
255,2.31840462387
256,1.83711730709
257,2.09165006634
258,2.31840462387
259,1.54110350074
260,1.83711730709
261,2.8939592257
262,1.83711730709
263,2.8939592257
264,1.83711730709
265,2.31840462387
266,2.52487623459
267,2.52487623459
268,2.8939592257
269,3.65718470958
270,2.31840462387
271,2.31840462387
272,2.8939592257
273,3.22102468168
274,3.37268439081
275,1.54110350074
276,2.09165006634
277,3.22102468168
278,2.09165006634
279,1.54110350074
280,1.83711730709
281,1.54110350074
282,2.52487623459
283,2.8939592257
284,1.83711730709
285,2.31840462387
286,3.37268439081
287,3.51781181987
288,2.09165006634
289,2.09165006634
290,2.8939592257
291,1.83711730709
292,2.7156951228
293,2.09165006634
294,2.52487623459
295,3.06186217848
296,2.09165006634
297,2.52487623459
298,2.7156951228
299,1.54110350074
300,2.7156951228
301,2.31840462387
302,2.52487623459
303,2.8939592257
304,1.83711730709
305,2.7156951228
306,2.09165006634
307,2.7156951228
308,2.31840462387
309,2.7156951228
310,2.31840462387
311,2.31840462387
312,1.17260393996
313,1.17260393996
314,2.09165006634
315,1.83711730709
316,1.54110350074
317,1.54110350074
318,2.7156951228
319,1.54110350074
320,1.54110350074
321,1.54110350074
322,2.52487623459
323,2.52487623459
324,2.31840462387
325,1.54110350074
326,1.17260393996
327,1.17260393996
328,1.17260393996
329,0.612372435696
330,1.54110350074
331,0.612372435696
332,1.17260393996
333,1.17260393996
334,1.17260393996
335,0.612372435696
336,1.54110350074
337,1.83711730709
338,2.09165006634
339,1.54110350074
340,1.54110350074
341,1.83711730709
342,1.83711730709
343,2.31840462387
344,1.83711730709
345,1.83711730709
346,2.7156951228
347,3.22102468168
348,4.04660351406
349,4.83476990145
350,3.92109678534
351,3.92109678534
352,3.37268439081
353,3.37268439081
354,2.8939592257
355,2.8939592257
356,2.09165006634
357,3.37268439081
358,2.31840462387
359,2.09165006634
360,2.52487623459
361,2.31840462387
362,1.54110350074
363,2.09165006634
364,2.31840462387
365,2.52487623459
366,2.8939592257
367,2.09165006634
368,1.54110350074
369,1.83711730709
370,2.8939592257
371,1.83711730709
372,1.83711730709
373,2.09165006634
374,2.09165006634
375,1.54110350074
376,2.09165006634
377,1.83711730709
378,2.7156951228
379,2.09165006634
380,2.52487623459
381,0.612372435696
382,1.54110350074
383,2.09165006634
384,1.17260393996
385,1.54110350074
386,2.31840462387
387,2.31840462387
388,2.31840462387
389,2.52487623459
390,2.09165006634
391,2.09165006634
392,2.8939592257
393,1.83711730709
394,3.22102468168
395,2.7156951228
396,2.52487623459
397,2.7156951228
398,2.31840462387
399,2.7156951228
400,2.09165006634
401,2.7156951228
402,2.7156951228
403,2.8939592257
404,2.31840462387
405,2.31840462387
406,2.09165006634
407,2.09165006634
408,2.31840462387
409,2.31840462387
410,1.83711730709
411,1.83711730709
412,1.83711730709
413,1.17260393996
414,2.09165006634
415,1.83711730709
416,1.54110350074
417,1.54110350074
418,1.54110350074
419,1.17260393996
420,0.612372435696
421,1.54110350074
422,1.17260393996
423,1.54110350074
424,1.17260393996
425,1.17260393996
426,0.612372435696
427,1.17260393996
428,1.54110350074
429,0.612372435696
430,1.17260393996
431,1.17260393996
432,1.17260393996
433,1.83711730709
434,1.54110350074
435,1.83711730709
436,2.09165006634
437,2.09165006634
438,1.83711730709
439,1.83711730709
440,2.09165006634
441,3.65718470958
442,3.06186217848
443,3.92109678534
444,3.06186217848
445,3.79143772203
446,3.79143772203
447,4.16833300013
448,4.16833300013
449,2.7156951228
450,2.52487623459
451,2.52487623459
452,2.52487623459
453,2.52487623459
454,2.31840462387
455,2.09165006634
456,2.31840462387
457,3.22102468168
458,1.17260393996
459,2.09165006634
460,2.31840462387
461,1.54110350074
462,1.83711730709
463,0.612372435696
464,1.54110350074
465,2.52487623459
466,2.7156951228
467,1.54110350074
468,2.09165006634
469,1.83711730709
470,1.54110350074
471,2.52487623459
472,1.17260393996
473,3.06186217848
474,3.22102468168
475,0.612372435696
476,1.83711730709
477,1.17260393996
478,2.7156951228
479,2.31840462387
480,2.31840462387
481,2.7156951228
482,2.7156951228
483,2.8939592257
484,3.37268439081
485,2.8939592257
486,4.83476990145
487,4.93710441453
488,4.40170421541
489,3.37268439081
490,3.51781181987
491,3.06186217848
492,2.7156951228
493,2.7156951228
494,2.8939592257
495,3.06186217848
496,3.37268439081
497,2.31840462387
498,2.09165006634
499,2.31840462387
500,3.06186217848
501,2.52487623459
502,2.09165006634
503,2.8939592257
504,2.8939592257
505,3.22102468168
506,2.52487623459
507,3.37268439081
508,3.22102468168
509,1.17260393996
510,2.52487623459
511,2.09165006634
512,2.09165006634
513,1.83711730709
514,2.52487623459
515,1.83711730709
516,1.54110350074
517,1.54110350074
518,1.54110350074
519,1.54110350074
